NAME;ADDRESS;OKRUG;UPRAVA;ROUTES;LAT;LON
5-й пр. Подбельского;Ивантеевская ул.;ВАО;Богородское;235м;55.81716534328227;37.726093022939686
7-й проезд Подбельского;7-й проезд Подбельского;ВАО;Богородское;271м;55.81305136180953;37.72878053866099
Мосгорсуд;Богородский Вал ул.;ВАО;Богородское;А265;55.80259152941143;37.70380039308508
Метро Ул. Подбельского;Открытое шоссе;ВАО;Богородское;А265 А822 А80Ф А75 А80 А86;55.8133356677835;37.73707006409238
4-я Гражданская ул.;4-я Гражданская ул.;ВАО;Богородское;А265 А86;55.807320976813294;37.71988650735499
5-й пр. Подбельского;Бойцовая ул.;ВАО;Богородское;А265 А86;55.81597305558441;37.72473842958365
Бульв. Марш. Рокоссовского 12;Бойцовая ул.;ВАО;Богородское;А265 А86;55.81398564438495;37.721469673906086
Детская ул.;Бойцовая ул.;ВАО;Богородское;А265 А86;55.80968616527182;37.716351167583305
Магазин;Бойцовая ул.;ВАО;Богородское;А265 А86;55.811649248191635;37.718779782215655
Зельев пер.;Просторная ул.;ВАО;Богородское;А265 А86;55.805373197906675;37.71751058075297
Ул. Алымова;Просторная ул.;ВАО;Богородское;А265 А86;55.80438729687771;37.71172784182395
Метро Ул. Подбельского;Ивантеевская ул.;ВАО;Богородское;А3 А3ф А75 А822;55.81403436036489;37.7339755898928
Метро Ул. Подбельского;Ивантеевская ул.;ВАО;Богородское;А3п А3 А3ф А822 А75;55.814057691542516;37.734363651839466
Богатырский мост;Богатырский Мост ул.;ВАО;Богородское;А75 А822;55.81709737159276;37.6885057530652
Белокаменное ш.;Белокаменное шоссе;ВАО;Богородское;А75 А822;55.82452416606877;37.69187685326604
Кадетский корпус;Лосиноостровская ул.;ВАО;Богородское;А75 А822;55.826020755653225;37.70352564326222
Учебный центр Минздрава;Лосиноостровская ул.;ВАО;Богородское;А75 А822;55.82569649487308;37.6967066218238
Яузская аллея;Яузская аллея;ВАО;Богородское;А75 А822;55.830737372005274;37.69241705030631
5-й пр. Подбельского;Ивантеевская ул.;ВАО;Богородское;А80;55.81689878079221;37.72701888688711
1-я Прогонная ул.;1-я Прогонная ул.;ВАО;Богородское;А80 А80Ф;55.812052979132844;37.708752548117786
5-й пр. Подбельского;5-й пр. Подбельского;ВАО;Богородское;А80 А80Ф;55.81735880179911;37.72752330958294
Ивантеевская ул.;Ивантеевская ул.;ВАО;Богородское;А80 А80Ф;55.81892691629365;37.72073206672963
Игральная ул.;Ивантеевская ул.;ВАО;Богородское;А80 А80Ф;55.818199170182154;37.71578255516186
Стадион Спартак;3-я Гражданская ул.;ВАО;Богородское;А80 А80Ф;55.809912256875926;37.71099387347976
